result,fighter,opponent,f_kd,o_kd,f_str,o_str,f_td,o_td,f_sub,o_sub,weight_class,method,type,round,time,date,event_url
win,Sergey Khandozhko,Dwight Grant,2,1,49,42,1,1,0,0,Welterweight,KO/TKO,Punches,2,4:15,2022-04-23,http://ufcstats.com/event-details/236a37d96d476164
win,Tyson Pedro,Ike Villanueva,1,0,22,4,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,4:55,2022-04-23,http://ufcstats.com/event-details/236a37d96d476164
win,Preston Parsons,Evan Elder,0,0,75,27,4,0,5,0,Welterweight,U-DEC,,3,5:00,2022-04-23,http://ufcstats.com/event-details/236a37d96d476164
win,Philipe Lins,Marcin Prachnio,0,0,64,74,4,0,0,0,Light Heavyweight,U-DEC,,3,5:00,2022-04-23,http://ufcstats.com/event-details/236a37d96d476164
win,Aoriqileng,Cameron Else,1,0,37,6,1,0,0,0,Bantamweight,KO/TKO,Punches,1,2:48,2022-04-23,http://ufcstats.com/event-details/236a37d96d476164
win,Pannie Kianzad,Lina Lansberg,0,1,78,39,1,0,0,0,Women's Bantamweight,U-DEC,,3,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Belal Muhammad,Vicente Luque,0,0,60,84,5,0,0,0,Welterweight,U-DEC,,5,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Caio Borralho,Gadzhi Omargadzhiev,0,0,31,12,1,1,0,0,Middleweight,U-DEC,,3,3:56,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Andre Fialho,Miguel Baeza,1,0,32,24,0,0,0,0,Welterweight,KO/TKO,Punches,1,4:39,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Mayra Bueno Silva,Wu Yanan,0,0,87,62,0,1,2,0,Women's Bantamweight,U-DEC,,3,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Pat Sabatini,TJ Laramie,0,0,36,15,6,1,0,0,Featherweight,U-DEC,,3,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Mounir Lazzez,Ange Loosa,0,0,141,88,0,0,0,0,Welterweight,U-DEC,,3,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Drakkar Klose,Brandon Jenkins,2,0,76,18,2,0,0,0,Lightweight,KO/TKO,Punches,2,0:33,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Rafa Garcia,Jesse Ronson,0,0,35,25,3,0,1,0,Lightweight,SUB,Rear Naked Choke,2,4:50,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Martin Buday,Chris Barnett,1,0,56,23,0,0,0,0,Heavyweight,U-DEC,,3,1:38,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Jordan Leavitt,Trey Ogden,0,0,69,41,0,1,0,2,Lightweight,S-DEC,,3,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Sam Hughes,Istela Nunes,0,0,76,89,2,0,0,0,Women's Strawweight,M-DEC,,3,5:00,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Devin Clark,William Knight,1,0,34,21,2,1,0,2,Heavyweight,KO/TKO,Punches,3,3:21,2022-04-16,http://ufcstats.com/event-details/8753e125f4499816
win,Alexander Volkanovski,Chan Sung Jung,1,0,138,48,4,0,0,0,Featherweight,KO/TKO,Punches,4,0:45,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Aljamain Sterling,Petr Yan,0,0,62,63,2,0,0,0,Bantamweight,S-DEC,,5,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Khamzat Chimaev,Gilbert Burns,1,0,108,119,2,0,0,0,Welterweight,U-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Mackenzie Dern,Tecia Torres,0,0,50,76,0,0,3,0,Women's Strawweight,S-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Mark Madsen,Vinc Pichel,0,0,39,68,3,1,0,0,Lightweight,U-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Ian Garry,Darian Weeks,0,0,74,40,0,1,0,0,Welterweight,U-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Anthony Hernandez,Josh Fremd,0,0,48,31,8,1,3,1,Middleweight,U-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Raquel Pennington,Aspen Ladd,0,0,114,65,0,2,0,0,Women's Bantamweight,U-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Mike Malott,Mickey Gall,1,0,28,13,0,1,0,0,Welterweight,KO/TKO,Punch,1,3:41,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Aleksei Oleinik,Jared Vanderaa,0,0,8,15,0,0,1,0,Heavyweight,SUB,Scarf Hold,1,3:39,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Piera Rodriguez,Kay Hansen,0,0,50,31,3,2,0,0,Women's Strawweight,U-DEC,,3,5:00,2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4
win,Curtis Blaydes,Chris Daukaus,1,0,30,13,0,0,0,0,Heavyweight,KO/TKO,Punch,2,0:17,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Alexa Grasso,Joanne Wood,0,0,16,34,2,0,1,0,Women's Flyweight,SUB,Rear Naked Choke,1,3:57,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Bryan Barberena,Matt Brown,0,0,111,81,0,5,0,0,Welterweight,S-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Kai Kara-France,Askar Askarov,0,0,51,27,0,2,0,2,Flyweight,U-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Neil Magny,Max Griffin,0,1,54,67,1,0,0,0,Welterweight,S-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Marc Diakiese,Viacheslav Borshchev,0,0,17,12,11,0,0,0,Lightweight,U-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Sara McMann,Karol Rosa,0,0,24,26,4,1,0,0,Women's Bantamweight,U-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Chris Gutierrez,Batgerel Danaa,1,0,41,30,0,1,0,0,Bantamweight,KO/TKO,Spinning Back Fist,2,2:34,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Aliaskhab Khizriev,Denis Tiuliulin,0,0,42,31,2,0,1,0,Middleweight,SUB,Rear Naked Choke,2,1:58,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Manon Fiorot,Jennifer Maia,0,0,83,37,2,1,0,0,Women's Flyweight,U-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Matheus Nicolau,David Dvorak,1,0,36,39,0,0,0,0,Flyweight,U-DEC,,3,5:00,2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8
win,Makwan Amirkhani,Mike Grundy,0,0,0,0,0,1,1,0,Featherweight,SUB,Anaconda Choke,1,0:57,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Tom Aspinall,Alexander Volkov,0,0,29,13,2,0,1,0,Heavyweight,SUB,Straight Armbar,1,3:45,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Arnold Allen,Dan Hooker,0,0,49,14,0,0,0,0,Featherweight,KO/TKO,Punches,1,2:33,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Paddy Pimblett,Kazula Vargas,0,0,3,7,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,3:49,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Gunnar Nelson,Takashi Sato,0,0,44,9,3,0,1,0,Welterweight,U-DEC,,3,5:00,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Molly McCann,Luana Carolina,1,0,85,64,2,0,0,0,Women's Flyweight,KO/TKO,Spinning Back Elbow,3,1:52,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Sergei Pavlovich,Shamil Abdurakhimov,1,0,21,17,0,0,0,0,Heavyweight,KO/TKO,Punches,1,4:03,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Paul Craig,Nikita Krylov,0,0,2,19,1,1,1,0,Light Heavyweight,SUB,Triangle Choke,1,3:57,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Jack Shore,Timur Valiev,2,0,70,72,3,2,0,1,Bantamweight,U-DEC,,3,5:00,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Elise Reed,Cory McKenna,0,0,76,60,0,3,0,0,Women's Strawweight,S-DEC,,3,5:00,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,Ilia Topuria,Jai Herbert,1,1,20,22,1,0,0,0,Lightweight,KO/TKO,Punch,2,1:07,2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9
win,JJ Aldrich,Gillian Robertson,0,0,60,52,0,1,0,0,Women's Flyweight,U-DEC,,3,5:00,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Magomed Ankalaev,Thiago Santos,0,1,78,60,1,0,0,0,Light Heavyweight,U-DEC,,5,5:00,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Song Yadong,Marlon Moraes,1,0,14,9,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:06,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Sodiq Yusuff,Alex Caceres,0,0,64,66,1,1,0,0,Featherweight,U-DEC,,3,5:00,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Khalil Rountree Jr.,Karl Roberson,2,0,26,17,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,0:25,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Drew Dober,Terrance McKinney,1,1,17,36,0,2,0,0,Lightweight,KO/TKO,Punches,1,3:17,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Alex Pereira,Bruno Silva,0,0,108,59,0,2,0,0,Middleweight,U-DEC,,3,5:00,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Javid Basharat,Trevin Jones,0,0,89,62,0,0,0,0,Bantamweight,U-DEC,,3,5:00,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Damon Jackson,Kamuela Kirk,0,0,32,22,2,0,1,0,Featherweight,SUB,Arm Triangle,2,4:42,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Miranda Maverick,Sabina Mazo,0,0,19,15,4,0,1,0,Women's Flyweight,SUB,Rear Naked Choke,2,2:15,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Cody Brundage,Dalcha Lungiambula,0,0,4,29,1,1,1,0,Middleweight,SUB,Guillotine Choke,1,3:41,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Guido Cannetti,Kris Moutinho,0,0,28,11,0,0,0,0,Bantamweight,KO/TKO,Punches,1,2:07,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Matthew Semelsberger,AJ Fletcher,0,0,40,34,1,4,0,2,Welterweight,U-DEC,,3,5:00,2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60
win,Serghei Spivac,Greg Hardy,0,0,14,7,3,0,0,0,Heavyweight,KO/TKO,Punches,1,2:16,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Bryce Mitchell,Edson Barboza,1,0,34,16,4,0,0,0,Featherweight,U-DEC,,3,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Kevin Holland,Alex Oliveira,1,0,50,21,0,2,0,1,Welterweight,KO/TKO,Elbows,2,0:38,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Colby Covington,Jorge Masvidal,0,0,94,67,6,0,1,0,Welterweight,U-DEC,,5,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Rafael Dos Anjos,Renato Moicano,1,0,149,88,5,0,0,0,Catch Weight,U-DEC,,5,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Jalin Turner,Jamie Mullarkey,1,0,52,35,1,1,0,0,Lightweight,KO/TKO,Punch,2,0:46,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Maryna Moroz,Mariya Agapova,0,0,28,16,2,0,3,0,Women's Flyweight,SUB,Arm Triangle,2,3:27,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Nicolae Negumereanu,Kennedy Nzechukwu,0,0,64,95,1,0,0,0,Light Heavyweight,S-DEC,,3,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Ludovit Klein,Devonte Smith,0,0,60,53,0,0,0,0,Lightweight,S-DEC,,3,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Marina Rodriguez,Yan Xiaonan,0,0,72,56,0,2,0,0,Women's Strawweight,S-DEC,,3,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Umar Nurmagomedov,Brian Kelleher,0,0,18,1,1,0,1,0,Featherweight,SUB,Rear Naked Choke,1,3:15,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Tim Elliott,Tagir Ulanbekov,1,0,79,90,3,2,0,1,Flyweight,U-DEC,,3,5:00,2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732
win,Islam Makhachev,Bobby Green,0,0,14,9,1,0,0,0,Catch Weight,KO/TKO,Punches,1,3:23,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Wellington Turman,Misha Cirkunov,0,0,15,30,0,1,2,1,Middleweight,SUB,Armbar,2,1:29,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Priscila Cachoeira,Ji Yeon Kim,0,0,102,170,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Ignacio Bahamondes,Rong Zhu,0,0,126,48,0,1,2,0,Lightweight,SUB,Guillotine Choke,3,1:40,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Josiane Nunes,Ramona Pascual,2,0,98,52,0,3,0,0,Women's Featherweight,U-DEC,,3,5:00,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Terrance McKinney,Fares Ziam,0,0,3,1,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,2:11,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Jonathan Martinez,Alejandro Perez,0,1,74,52,0,0,0,0,Featherweight,U-DEC,,3,5:00,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Ramiz Brahimaj,Micheal Gillmore,0,0,0,0,1,0,3,0,Welterweight,SUB,Rear Naked Choke,1,2:02,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Arman Tsarukyan,Joel Alvarez,0,0,36,7,2,0,0,0,Lightweight,KO/TKO,Punches,2,1:57,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Armen Petrosyan,Gregory Rodrigues,0,0,127,61,0,2,0,2,Middleweight,S-DEC,,3,5:00,2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b
win,Parker Porter,Alan Baudot,0,0,43,55,2,0,0,0,Heavyweight,U-DEC,,3,5:00,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Jim Miller,Nikolas Motta,1,0,48,21,0,0,0,0,Lightweight,KO/TKO,Punch,2,1:58,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Jamahal Hill,Johnny Walker,1,0,6,12,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,2:55,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Gloria de Paula,Diana Belbita,0,0,88,87,1,0,0,0,Women's Strawweight,U-DEC,,3,5:00,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Joaquin Buckley,Abdul Razak Alhassan,0,0,51,46,5,3,0,0,Middleweight,S-DEC,,3,5:00,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Kyle Daukaus,Jamie Pickett,0,0,6,5,3,0,2,0,Catch Weight                        SUB              D'Arce Choke              1              4:59,SUB,D'Arce Choke,1,4:59,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Stephanie Egger,Jessica-Rose Clark,0,0,5,2,2,1,1,0,Women's Bantamweight,SUB,Armbar,1,3:44,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Jonathan Pearce,Christian Rodriguez,0,0,18,26,6,2,2,3,Featherweight,U-DEC,,3,5:00,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Chad Anheliger,Jesse Strader,2,0,67,64,0,4,2,0,Bantamweight,KO/TKO,Punch,3,3:33,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,David Onama,Gabriel Benitez,1,0,36,46,0,0,0,0,Featherweight,KO/TKO,Punches,1,4:24,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Chas Skelly,Mark Striegl,1,0,14,8,1,0,0,0,Featherweight,KO/TKO,Knee,2,2:01,2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e
win,Andrei Arlovski,Jared Vanderaa,0,0,64,70,0,0,0,0,Heavyweight,S-DEC,,3,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Casey O'Neill,Roxanne Modafferi,0,0,229,120,0,2,0,0,Women's Flyweight,S-DEC,,3,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Tai Tuivasa,Derrick Lewis,1,0,24,27,0,2,0,0,Heavyweight,KO/TKO,Elbow,2,1:40,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Jared Cannonier,Derek Brunson,0,1,55,43,1,3,0,1,Middleweight,KO/TKO,Elbows,2,4:29,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Renato Moicano,Alexander Hernandez,0,0,33,37,2,0,1,0,Lightweight,SUB,Rear Naked Choke,2,1:23,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Kyler Phillips,Marcelo Rojo,0,0,80,55,3,0,2,0,Bantamweight,SUB,Triangle Armbar,3,1:48,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Bobby Green,Nasrat Haqparast,0,0,188,76,0,0,0,0,Lightweight,U-DEC,,3,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Israel Adesanya,Robert Whittaker,1,0,79,59,0,4,0,0,Middleweight,U-DEC,,5,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Ronnie Lawrence,Mana Martinez,3,2,46,39,6,0,0,1,Bantamweight,U-DEC,,3,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Jacob Malkoun,AJ Dobson,0,0,80,52,6,0,0,0,Middleweight,U-DEC,,3,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Douglas Silva de Andrade,Sergey Morozov,3,1,37,32,0,1,2,0,Bantamweight,SUB,Rear Naked Choke,2,3:24,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Jeremiah Wells,Blood Diamond,0,0,15,1,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,4:38,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Carlos Ulberg,Fabio Cherant,0,0,66,13,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00,2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc
win,Julian Erosa,Steven Peterson,0,0,155,148,3,0,0,2,Featherweight,S-DEC,,3,5:00,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Bryan Battle,Tresean Gore,0,0,112,57,1,2,0,1,Middleweight,U-DEC,,3,5:00,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Sean Strickland,Jack Hermansson,0,0,153,137,0,0,0,0,Middleweight,S-DEC,,5,5:00,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Nick Maximov,Punahele Soriano,0,0,29,45,11,0,1,0,Middleweight,S-DEC,,3,5:00,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Shavkat Rakhmonov,Carlston Harris,1,0,13,10,1,0,0,0,Welterweight,KO/TKO,Kick,1,4:10,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Brendan Allen,Sam Alvey,1,0,36,24,0,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,2,2:10,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Hakeem Dawodu,Michael Trizano,0,0,141,70,0,1,0,0,Featherweight,U-DEC,,3,5:00,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Alexis Davis,Julija Stoliarenko,0,0,85,56,1,0,0,3,Women's Bantamweight,U-DEC,,3,5:00,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Jailton Almeida,Danilo Marques,0,0,30,0,2,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:57,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Phil Rowe,Jason Witt,1,0,8,8,0,4,0,0,Welterweight,KO/TKO,Punches,2,2:15,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,John Castaneda,Miles Johns,1,0,58,34,0,0,1,0,Bantamweight,SUB,Arm Triangle,3,1:38,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Chidi Njokuani,Marc-Andre Barriault,1,0,11,2,0,0,0,0,Middleweight,KO/TKO,Punches,1,0:16,2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473
win,Michael Morales,Trevin Giles,1,0,26,8,0,1,0,1,Welterweight,KO/TKO,Punches,1,4:06,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Francis Ngannou,Ciryl Gane,0,0,43,63,4,1,0,3,Heavyweight,U-DEC,,5,5:00,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Deiveson Figueiredo,Brandon Moreno,3,0,86,105,2,1,0,0,Flyweight,U-DEC,,5,5:00,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Said Nurmagomedov,Cody Stamann,0,0,7,1,0,0,1,0,Bantamweight,SUB,Guillotine Choke,1,0:47,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Michel Pereira,Andre Fialho,0,0,107,45,1,0,0,0,Welterweight,U-DEC,,3,5:00,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Tony Gravely,Saimon Oliveira,0,0,46,35,11,0,0,4,Bantamweight,U-DEC,,3,5:00,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Jack Della Maddalena,Pete Rodriguez,1,0,43,25,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:59,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Matt Frevola,Genaro Valdez,4,0,60,10,0,0,0,0,Lightweight,KO/TKO,Punches,1,3:15,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Vanessa Demopoulos,Silvana Gomez Juarez,0,1,4,10,0,0,2,0,Women's Strawweight,SUB,Armbar,1,2:25,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Victor Henry,Raoni Barcelos,0,0,181,134,0,1,0,0,Bantamweight,U-DEC,,3,5:00,2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e
win,Calvin Kattar,Giga Chikadze,1,0,144,128,2,0,1,0,Featherweight,U-DEC,,5,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Jake Collier,Chase Sherman,0,0,20,10,1,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,2:26,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Brandon Royval,Rogerio Bontorin,0,0,40,28,0,8,3,0,Flyweight,S-DEC,,3,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Katlyn Chookagian,Jennifer Maia,0,0,72,52,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Viacheslav Borshchev,Dakota Bush,1,0,16,11,0,2,0,0,Lightweight,KO/TKO,Punch,1,3:47,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Bill Algeo,Joanderson Brito,0,0,59,40,2,2,0,0,Featherweight,U-DEC,,3,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Jamie Pickett,Joseph Holmes,0,0,50,51,2,0,0,0,Middleweight,U-DEC,,3,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Court McGee,Ramiz Brahimaj,1,0,54,32,5,1,1,1,Welterweight,U-DEC,,3,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Brian Kelleher,Kevin Croom,1,0,38,60,6,0,0,0,Featherweight,U-DEC,,3,5:00,2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4
win,Derrick Lewis,Chris Daukaus,1,0,14,10,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:36,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Belal Muhammad,Stephen Thompson,0,0,58,19,7,0,1,0,Welterweight,U-DEC,,3,5:00,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Mateusz Gamrot,Diego Ferreira,0,0,25,36,4,0,0,0,Lightweight,KO/TKO,Knee,2,3:26,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Ricky Simon,Raphael Assuncao,1,0,18,7,2,0,0,0,Bantamweight,KO/TKO,Punch,2,2:14,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Amanda Lemos,Angela Hill,1,0,50,48,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Cub Swanson,Darren Elkins,1,0,18,2,0,0,0,0,Featherweight,KO/TKO,Punches,1,2:12,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Don'Tale Mayes,Josh Parisian,0,0,25,10,6,0,0,0,Heavyweight,KO/TKO,Elbows,3,3:26,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Justin Tafa,Harry Hunsucker,1,0,5,5,0,0,0,1,Heavyweight,KO/TKO,Kick,1,1:53,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Melissa Gatto,Sijara Eubanks,1,0,17,14,0,1,0,0,Women's Flyweight,KO/TKO,Kick,3,0:45,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Charles Jourdain,Andre Ewell,0,0,137,56,0,1,0,0,Featherweight,U-DEC,,3,5:00,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
win,Raquel Pennington,Macy Chiasson,0,0,45,26,0,1,1,0,Women's Featherweight,SUB,Guillotine Choke,2,3:07,2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a
