fighter,event_url
Serghei Spivac,http://ufcstats.com/event-details/d26394fc0e8e880a
Devin Clark,http://ufcstats.com/event-details/d26394fc0e8e880a
Marcin Tybura,http://ufcstats.com/event-details/d26394fc0e8e880a
Dooho Choi,http://ufcstats.com/event-details/d26394fc0e8e880a
Adam Fugitt,http://ufcstats.com/event-details/d26394fc0e8e880a
Anshul Jubli,http://ufcstats.com/event-details/d26394fc0e8e880a
JeongYeong Lee,http://ufcstats.com/event-details/d26394fc0e8e880a
Rinya Nakamura,http://ufcstats.com/event-details/d26394fc0e8e880a
HyunSung Park,http://ufcstats.com/event-details/d26394fc0e8e880a
JunYong Park,http://ufcstats.com/event-details/d26394fc0e8e880a
Jamahal Hill,http://ufcstats.com/event-details/5717efc6f271cd52
Brandon Moreno,http://ufcstats.com/event-details/5717efc6f271cd52
Gilbert Burns,http://ufcstats.com/event-details/5717efc6f271cd52
Jessica Andrade,http://ufcstats.com/event-details/5717efc6f271cd52
Johnny Walker,http://ufcstats.com/event-details/5717efc6f271cd52
Ihor Potieria,http://ufcstats.com/event-details/5717efc6f271cd52
Brunno Ferreira,http://ufcstats.com/event-details/5717efc6f271cd52
Thiago Moises,http://ufcstats.com/event-details/5717efc6f271cd52
Gabriel Bonfim,http://ufcstats.com/event-details/5717efc6f271cd52
Jailton Almeida,http://ufcstats.com/event-details/5717efc6f271cd52
Cody Stamann,http://ufcstats.com/event-details/5717efc6f271cd52
Ismael Bonfim,http://ufcstats.com/event-details/5717efc6f271cd52
Nicolas Dalby,http://ufcstats.com/event-details/5717efc6f271cd52
Josiane Nunes,http://ufcstats.com/event-details/5717efc6f271cd52
Sean Strickland,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Dan Ige,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Roman Kopylov,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Raquel Pennington,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Umar Nurmagomedov,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Javid Basharat,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Abdul Razak Alhassan,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Mateusz Rebecki,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Allan Nascimento,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Dan Argueta,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
Jared Cannonier,http://ufcstats.com/event-details/56ec58954158966a
Arman Tsarukyan,http://ufcstats.com/event-details/56ec58954158966a
Amir Albazi,http://ufcstats.com/event-details/56ec58954158966a
Alex Caceres,http://ufcstats.com/event-details/56ec58954158966a
Drew Dober,http://ufcstats.com/event-details/56ec58954158966a
Michal Oleksiejczuk,http://ufcstats.com/event-details/56ec58954158966a
Cory McKenna,http://ufcstats.com/event-details/56ec58954158966a
Matthew Semelsberger,http://ufcstats.com/event-details/56ec58954158966a
Said Nurmagomedov,http://ufcstats.com/event-details/56ec58954158966a
Rafa Garcia,http://ufcstats.com/event-details/56ec58954158966a
Rinat Fakhretdinov,http://ufcstats.com/event-details/56ec58954158966a
Manel Kape,http://ufcstats.com/event-details/56ec58954158966a
Jan Blachowicz,http://ufcstats.com/event-details/f65a0eb902f9476b
Paddy Pimblett,http://ufcstats.com/event-details/f65a0eb902f9476b
Santiago Ponzinibbio,http://ufcstats.com/event-details/f65a0eb902f9476b
