fighter,fighter_url
Sam Patterson,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
Muhammad Mokaev,http://ufcstats.com/fighter-details/75353550928a7921
Jafel Filho,http://ufcstats.com/fighter-details/65adf3856c4d9256
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
Gabriel Santos,http://ufcstats.com/fighter-details/f2f140ce7532e327
Christian Duncan,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Dusko Todorovic,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
Jake Hadley,http://ufcstats.com/fighter-details/60a42bf82447c919
Malcolm Gordon,http://ufcstats.com/fighter-details/dee294e9717012c2
Joanne Wood,http://ufcstats.com/fighter-details/12f91bfa8f1f723b
Luana Carolina,http://ufcstats.com/fighter-details/528b071cf3da7c56
Jai Herbert,http://ufcstats.com/fighter-details/4c88a1db5a46c6a4
Ludovit Klein,http://ufcstats.com/fighter-details/5b86d491d63890c5
Veronica Hardy,http://ufcstats.com/fighter-details/4798e823ada58fe9
Juliana Miller,http://ufcstats.com/fighter-details/aa0c573da7119292
Merab Dvalishvili,http://ufcstats.com/fighter-details/c03520b5c88ed6b4
Petr Yan,http://ufcstats.com/fighter-details/d661ce4da776fc20
Alexander Volkov,http://ufcstats.com/fighter-details/279566840aa55bf2
Alexandr Romanov,http://ufcstats.com/fighter-details/c0badf3243907e59
Nikita Krylov,http://ufcstats.com/fighter-details/1091d4d957141094
Ryan Spann,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
Jonathan Martinez,http://ufcstats.com/fighter-details/f2477cf43c4975cc
Said Nurmagomedov,http://ufcstats.com/fighter-details/0fd5f4b838e890cc
Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
Guido Cannetti,http://ufcstats.com/fighter-details/d05412b513b19621
Vitor Petrino,http://ufcstats.com/fighter-details/71171fc96445bf65
Anton Turkalj,http://ufcstats.com/fighter-details/82529ce93cd9a2cf
Karl Williams,http://ufcstats.com/fighter-details/d35f734c56a89103
Lukasz Brzeski,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19
Davey Grant,http://ufcstats.com/fighter-details/113df4fde64735c6
Raphael Assuncao,http://ufcstats.com/fighter-details/2f13e4020cea5b38
Josh Fremd,http://ufcstats.com/fighter-details/ca43de99b07b6b40
Sedriques Dumas,http://ufcstats.com/fighter-details/4e6738062d469256
Victor Henry,http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8
Tony Gravely,http://ufcstats.com/fighter-details/601964f9654f911a
Ariane Lipski,http://ufcstats.com/fighter-details/6551c64fbcd1a467
JJ Aldrich,http://ufcstats.com/fighter-details/6fd953151d981979
Bruno Silva,http://ufcstats.com/fighter-details/294aa73dbf37d281
Tyson Nam,http://ufcstats.com/fighter-details/6e00cfffd54653c4
Carlston Harris,http://ufcstats.com/fighter-details/a53d30163304aa6e
Jared Gooden,http://ufcstats.com/fighter-details/c730a0be691dc081
Jon Jones,http://ufcstats.com/fighter-details/07f72a2a7591b409
Ciryl Gane,http://ufcstats.com/fighter-details/787bb1f087ccff8a
Alexa Grasso,http://ufcstats.com/fighter-details/e8b731feff72294b
Valentina Shevchenko,http://ufcstats.com/fighter-details/132deb59abae64b1
Shavkat Rakhmonov,http://ufcstats.com/fighter-details/01afe0916a40c7c5
Geoff Neal,http://ufcstats.com/fighter-details/b997be68943010fc
Mateusz Gamrot,http://ufcstats.com/fighter-details/72db2a14ffa73ece
Jalin Turner,http://ufcstats.com/fighter-details/4d8fa64202cee4c1
Bo Nickal,http://ufcstats.com/fighter-details/35673bf5204524ee
Jamie Pickett,http://ufcstats.com/fighter-details/830f60497fab345a
Cody Garbrandt,http://ufcstats.com/fighter-details/d8c7c61b176e3994
Trevin Jones,http://ufcstats.com/fighter-details/ec23c1be628d8057
Dricus Du Plessis,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e
Derek Brunson,http://ufcstats.com/fighter-details/b1a3e0aca758b322
Amanda Ribas,http://ufcstats.com/fighter-details/beecb672a279223e
Viviane Araujo,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
Julian Marquez,http://ufcstats.com/fighter-details/d0e1b42d41dab603
Ian Garry,http://ufcstats.com/fighter-details/442c9011034ae1fd
Song Kenan,http://ufcstats.com/fighter-details/32490e80ddab1e5a
Cameron Saaiman,http://ufcstats.com/fighter-details/3c8a5200436e19f3
Mana Martinez,http://ufcstats.com/fighter-details/c0386644627a7ee5
