fighter,opponent,weight_class
Marvin Vettori,Jared Cannonier,Middleweight
Arman Tsarukyan,Joaquim Silva,Lightweight
Armen Petrosyan,Christian Duncan,Middleweight
Pat Sabatini,Lucas Almeida,Featherweight
Manuel Torres,Nikolas Motta,Lightweight
Nicolas Dalby,Muslim Salikhov,Welterweight
Raoni Barcelos,Miles Johns,Bantamweight
Jimmy Flick,Alessandro Costa,Flyweight
Kyung Ho Kang,Cristian Quinonez,Bantamweight
Carlos Hernandez,Denys Bondar,Flyweight
Zhalgas Zhumagulov,Felipe Bunes,Flyweight
Tereza Bleda,Gabriella Fernandes,Women's Flyweight
Dan Argueta,Ronnie Lawrence,Bantamweight
Zac Pauga,Modestas Bukauskas,Light Heavyweight
