fighter,opponent,weight_class,event_name
Polyana Viana,Iasmin Lucindo,Women's Strawweight,UFC Fight Night: Luque vs. Dos Anjos
Jaqueline Amorim,Montserrat Conejo,Women's Strawweight,UFC Fight Night: Luque vs. Dos Anjos
Cub Swanson,Hakeem Dawodu,Featherweight,UFC Fight Night: Luque vs. Dos Anjos
Aljamain Sterling,Sean O'Malley,Bantamweight,UFC 292: Sterling vs. O'Malley
Zhang Weili,Amanda Lemos,Women's Strawweight,UFC 292: Sterling vs. O'Malley
Chris Weidman,Brad Tavares,Middleweight,UFC 292: Sterling vs. O'Malley
Geoff Neal,Ian Garry,Welterweight,UFC 292: Sterling vs. O'Malley
Cody Garbrandt,Mario Bautista,Bantamweight,UFC 292: Sterling vs. O'Malley
Andre Petroski,Gerald Meerschaert,Middleweight,UFC 292: Sterling vs. O'Malley
Andrea Lee,Natalia Silva,Women's Flyweight,UFC 292: Sterling vs. O'Malley
Gregory Rodrigues,Denis Tiuliulin,Middleweight,UFC 292: Sterling vs. O'Malley
Karine Silva,Maryna Moroz,Women's Flyweight,UFC 292: Sterling vs. O'Malley
Rob Font,Song Yadong,Bantamweight,UFC 292: Sterling vs. O'Malley
Henry Cejudo,Marlon Vera,Bantamweight,UFC 292: Sterling vs. O'Malley
Max Holloway,Chan Sung Jung,Featherweight,UFC Fight Night: Holloway vs. The Korean Zombie
Anthony Smith,Ryan Spann,Light Heavyweight,UFC Fight Night: Holloway vs. The Korean Zombie
Rinya Nakamura,Fernie Garcia,Bantamweight,UFC Fight Night: Holloway vs. The Korean Zombie
Chidi Njokuani,Michal Oleksiejczuk,Middleweight,UFC Fight Night: Holloway vs. The Korean Zombie
Liang Na,JJ Aldrich,Women's Flyweight,UFC Fight Night: Holloway vs. The Korean Zombie
Ciryl Gane,Serghei Spivac,Heavyweight,UFC Fight Night: Gane vs. Spivac
Nora Cornolle,Joselyne Edwards,Women's Bantamweight,UFC Fight Night: Gane vs. Spivac
Volkan Oezdemir,Azamat Murzakanov,Light Heavyweight,UFC Fight Night: Gane vs. Spivac
Zarah Fairn,Hailey Cowan,Women's Bantamweight,UFC Fight Night: Gane vs. Spivac
Manon Fiorot,Rose Namajunas,Women's Flyweight,UFC Fight Night: Gane vs. Spivac
Carlos Ulberg,Da Woon Jung,Light Heavyweight,UFC 293
Alexa Grasso,Valentina Shevchenko,Women's Flyweight,UFC Fight Night: Grasso vs. Shevchenko 2
Shavkat Rakhmonov,Kelvin Gastelum,Welterweight,UFC Fight Night: Grasso vs. Shevchenko 2
